Artist,P-Value,Mean_Distance,Significance
Dey,0.4140,69.5822,Not Significant
Gen,0.9970,71.7350,Significant
Goya,1.0000,76.3706,Significant
Klimt,0.0020,67.8444,Significant
Mithila,1.0000,74.5156,Significant
Raja,0.0020,67.7511,Significant
Ren,0.0000,67.5117,Significant
Robert,1.0000,74.5689,Significant
Sid,0.0380,68.3756,Significant
Vin,0.0000,64.1350,Significant
