,B_Dey1.jpg_persistence.pkl,B_Dey10.jpeg_persistence.pkl,B_Dey2.jpg_persistence.pkl,B_Dey3.jpeg_persistence.pkl,B_Dey4.jpg_persistence.pkl,B_Dey5.jpg_persistence.pkl,B_Dey6.jpg_persistence.pkl,B_Dey7.jpeg_persistence.pkl,B_Dey8.jpg_persistence.pkl,B_Dey9.jpg_persistence.pkl,B_Gen1.jpg_persistence.pkl,B_Gen10.jpg_persistence.pkl,B_Gen2.jpg_persistence.pkl,B_Gen3.jpg_persistence.pkl,B_Gen4.png_persistence.pkl,B_Gen5.jpeg_persistence.pkl,B_Gen6.jpg_persistence.pkl,B_Gen7.jpg_persistence.pkl,B_Gen8.jpg_persistence.pkl,B_Gen9.jpg_persistence.pkl,B_Goya1.jpg_persistence.pkl,B_Goya10.jpg_persistence.pkl,B_Goya2.jpg_persistence.pkl,B_Goya3.jpg_persistence.pkl,B_Goya4.jpg_persistence.pkl,B_Goya5.jpg_persistence.pkl,B_Goya6.jpg_persistence.pkl,B_Goya7.jpg_persistence.pkl,B_Goya8.jpg_persistence.pkl,B_Goya9.jpg_persistence.pkl,B_Klimt1.jpg_persistence.pkl,B_Klimt10.jpeg_persistence.pkl,B_Klimt2.jpg_persistence.pkl,B_Klimt3.jpg_persistence.pkl,B_Klimt4.jpg_persistence.pkl,B_Klimt5.jpg_persistence.pkl,B_Klimt6.jpg_persistence.pkl,B_Klimt7.jpg_persistence.pkl,B_Klimt8.jpg_persistence.pkl,B_Klimt9.jpg_persistence.pkl,B_Mithila1.jpg_persistence.pkl,B_Mithila10.jpg_persistence.pkl,B_Mithila2.jpg_persistence.pkl,B_Mithila3.jpg_persistence.pkl,B_Mithila4.jpeg_persistence.pkl,B_Mithila5.jpg_persistence.pkl,B_Mithila6.jpg_persistence.pkl,B_Mithila7.jpeg_persistence.pkl,B_Mithila8.jpeg_persistence.pkl,B_Mithila9.jpg_persistence.pkl,B_Raja1.jpg_persistence.pkl,B_Raja10.jpg_persistence.pkl,B_Raja2.jpg_persistence.pkl,B_Raja3.jpg_persistence.pkl,B_Raja4.jpg_persistence.pkl,B_Raja5.jpeg_persistence.pkl,B_Raja6.jpg_persistence.pkl,B_Raja7.jpg_persistence.pkl,B_Raja8.jpg_persistence.pkl,B_Raja9.jpg_persistence.pkl,B_Ren1.jpg_persistence.pkl,B_Ren10.jpg_persistence.pkl,B_Ren2.jpg_persistence.pkl,B_Ren3.jpg_persistence.pkl,B_Ren4.jpg_persistence.pkl,B_Ren5.jpg_persistence.pkl,B_Ren6.jpg_persistence.pkl,B_Ren7.jpg_persistence.pkl,B_Ren8.jpg_persistence.pkl,B_Ren9.jpeg_persistence.pkl,B_Robert1.jpg_persistence.pkl,B_Robert10.jpg_persistence.pkl,B_Robert2.jpg_persistence.pkl,B_Robert3.jpg_persistence.pkl,B_Robert4.jpg_persistence.pkl,B_Robert5.jpg_persistence.pkl,B_Robert6.jpg_persistence.pkl,B_Robert7.jpg_persistence.pkl,B_Robert8.jpg_persistence.pkl,B_Robert9.jpg_persistence.pkl,B_Sid1.jpeg_persistence.pkl,B_Sid10.jpg_persistence.pkl,B_Sid2.jpeg_persistence.pkl,B_Sid3.jpg_persistence.pkl,B_Sid4.jpg_persistence.pkl,B_Sid5.jpeg_persistence.pkl,B_Sid6.jpeg_persistence.pkl,B_Sid7.jpg_persistence.pkl,B_Sid8.jpg_persistence.pkl,B_Sid9.jpg_persistence.pkl,B_Vin1.jpg_persistence.pkl,B_Vin10.jpg_persistence.pkl,B_Vin2.jpg_persistence.pkl,B_Vin3.jpg_persistence.pkl,B_Vin4.jpg_persistence.pkl,B_Vin5.jpg_persistence.pkl,B_Vin6.jpg_persistence.pkl,B_Vin7.jpg_persistence.pkl,B_Vin8.jpeg_persistence.pkl,B_Vin9.jpg_persistence.pkl
B_Dey1.jpg_persistence.pkl,0.0,4096.0,3750.0,4678.5,6240.5,4194.5,4421.5,13510.0,4990.5,2846.5,6674.0,4483.5,4041.5,3560.0,5935.0,5426.5,7913.0,5912.0,3824.0,5210.5,4917.0,4856.5,3102.5,5429.5,4552.5,5641.5,6350.0,5186.0,6263.0,5211.5,4636.5,8044.5,9661.5,11259.0,9011.0,4503.0,5300.0,9595.0,6390.0,5623.5,23720.0,18968.5,10726.5,18897.0,14747.0,17246.0,15656.5,12769.0,17516.5,5398.5,4256.0,5145.0,5081.0,5745.0,3331.0,3467.5,4392.5,4589.0,4757.5,4561.0,5754.0,4248.5,15028.5,9478.0,4853.5,5148.0,4813.5,6737.5,15027.5,3215.5,5095.5,6118.5,3523.0,5587.0,5593.0,4267.5,6180.5,4784.0,4994.0,8598.5,4183.5,7117.5,6786.0,4569.0,7105.0,6402.5,11756.5,5085.0,9467.5,4787.0,8519.5,8609.5,6291.0,6847.5,9306.0,8131.0,6183.0,9424.0,6363.0,6244.0
B_Dey10.jpeg_persistence.pkl,4096.0,0.0,2698.5,3470.0,4015.0,4893.0,2669.0,14327.5,3369.0,3666.0,5316.0,2907.0,3405.0,3801.5,2533.0,3944.5,6196.0,5727.0,3643.5,4705.5,3658.0,2853.5,4249.5,2666.0,2888.0,7483.0,5169.0,5894.0,4791.5,3808.0,5492.0,10093.0,8482.0,13344.5,10475.5,5832.5,7436.0,8265.5,5225.0,6819.5,21309.0,16241.0,11268.0,16704.0,12598.5,17402.5,13353.0,13024.0,15206.5,4861.5,3741.0,5645.5,3430.5,4690.0,3085.5,3153.0,4200.5,5045.5,4150.5,4208.5,8476.0,5523.0,13023.0,10480.5,5670.0,5315.0,6942.0,5207.0,15444.0,2396.5,2833.0,3235.0,1805.0,2500.5,2898.0,2663.0,2824.5,3341.0,3433.5,8727.0,4984.0,8332.5,7698.0,7024.5,7664.5,7631.0,14647.0,5286.0,12202.0,2997.0,8351.0,7856.0,7295.0,5350.0,9955.0,6132.0,7954.0,9071.0,5573.5,8509.5
B_Dey2.jpg_persistence.pkl,3750.0,2698.5,0.0,3611.5,3694.5,5141.0,3603.0,12774.0,4369.5,2914.0,5969.5,3508.5,3899.5,3941.0,3913.5,4633.5,6854.0,6087.5,4056.0,5160.5,4065.0,2989.5,4474.0,3699.5,3706.5,7663.5,5744.0,5984.0,5505.5,4217.0,5458.0,8875.0,7395.0,12571.0,9979.0,6220.5,7201.5,7100.5,5233.5,6215.0,21146.5,16952.5,9933.0,16091.5,11799.5,16946.5,13644.0,12053.0,14943.5,4195.0,3960.0,5407.0,4380.5,4589.0,3061.0,3853.5,3954.5,5460.0,4866.5,4468.5,8279.5,5107.0,12136.5,9427.5,5836.0,4382.0,5973.5,4141.5,14312.0,2066.0,2281.5,4304.0,2793.0,3523.0,4002.5,3375.0,4050.0,3538.5,2983.0,9084.0,4931.0,8575.0,7900.5,7076.0,6794.5,7051.0,14080.5,4841.5,12390.5,3871.0,6648.0,6699.5,7814.5,5560.5,9945.5,5305.5,7553.0,7678.0,4597.5,8084.5
B_Dey3.jpeg_persistence.pkl,4678.5,3470.0,3611.5,0.0,4684.0,4505.5,2875.5,13206.0,3339.5,4274.0,3630.0,2490.0,2518.5,3123.5,4045.0,2951.5,4342.5,3910.5,2791.0,3322.5,3206.5,3172.5,3796.5,3135.5,2886.5,5807.0,3746.0,4412.0,3598.0,2389.0,5450.0,9895.0,9145.5,12747.5,10509.0,4982.0,6915.5,8543.5,4258.0,5284.0,21443.5,16513.0,11249.5,16780.5,13337.0,16107.5,13709.0,12395.5,15278.0,5434.0,2700.5,5230.0,2431.5,4379.0,2735.0,3704.5,3563.0,4615.0,3613.5,3860.5,8202.5,5366.5,13521.5,10468.5,4502.0,5944.0,7026.5,5989.0,16106.0,3518.5,3732.5,3594.0,3329.0,3665.5,3921.0,2960.5,4303.5,3054.5,3282.0,7251.0,4676.5,6523.0,6217.5,6186.0,7640.0,7507.0,13916.0,3253.5,11542.5,3638.5,8174.5,7899.0,7843.5,5483.0,7645.0,6795.5,8337.0,9408.5,6553.5,7983.5
B_Dey4.jpg_persistence.pkl,6240.5,4015.0,3694.5,4684.0,0.0,6854.5,4776.0,13214.5,5253.5,5124.0,6960.5,4697.0,5306.5,5616.5,4277.0,5871.5,6886.5,7706.0,5325.5,6593.5,4441.0,3324.0,6545.0,4379.0,4768.0,9737.0,7099.0,7896.0,6576.0,5433.5,6469.0,9423.5,7011.5,13804.0,11193.5,8062.5,9077.0,6656.0,4872.0,6849.0,18777.0,15094.5,10320.5,13919.0,10116.0,15356.5,12684.0,11419.5,12855.5,6324.5,5063.0,6334.5,5135.0,4240.5,4985.0,5605.5,4929.0,7197.0,6178.5,5010.0,9671.5,5999.5,10395.5,9704.0,6639.0,5521.5,7225.0,4057.5,14751.0,3964.5,2699.0,4629.0,4609.5,2886.5,4664.5,4153.5,3500.0,4689.0,3649.0,9725.5,5530.5,10570.5,9920.5,8956.5,7184.0,7312.5,15303.5,5729.5,14684.0,4911.5,6914.5,6649.5,9275.5,5242.5,10413.5,3998.0,8342.5,7477.0,5454.5,8800.0
B_Dey5.jpg_persistence.pkl,4194.5,4893.0,5141.0,4505.5,6854.5,0.0,3846.0,14991.5,3813.0,5056.0,5619.0,3700.0,3254.0,2512.5,4900.5,4314.5,7032.0,4594.0,3535.5,4386.5,4235.5,4901.5,3419.0,4758.5,3591.5,5437.5,5100.5,4608.5,5194.5,4217.5,4394.0,10745.5,11395.5,13950.0,11733.5,3793.5,7790.0,10730.5,6164.5,6217.5,23379.0,18449.0,12583.0,18886.5,15609.5,17208.0,15933.0,13682.0,17324.5,6806.5,4303.5,6367.5,4065.0,5802.0,3766.0,3228.0,5350.5,3211.5,3787.5,4471.0,7332.0,5989.5,15851.0,11628.0,5083.5,7476.5,7369.0,8343.0,17607.0,5541.5,5635.0,5153.5,3908.0,5117.5,4896.0,3508.5,5369.0,4282.0,5347.5,8482.5,5123.5,5969.0,6942.0,5296.0,9010.5,8682.0,14262.0,5157.5,10103.0,3456.0,10020.0,9910.0,7086.0,7397.0,9234.5,9088.0,9037.5,11208.0,8843.5,6416.0
B_Dey6.jpg_persistence.pkl,4421.5,2669.0,3603.0,2875.5,4776.0,3846.0,0.0,14646.5,1704.5,4674.5,3392.5,1753.0,2214.5,2735.5,2472.5,2051.0,5413.5,3929.5,3119.5,3593.0,2968.5,2817.0,3664.5,2382.0,1241.0,6379.0,3426.5,4476.5,2812.0,2504.5,6077.0,10729.0,10012.0,13841.0,11388.0,4686.5,7815.5,9616.5,5383.0,6190.5,22018.0,16951.5,12236.5,17486.5,13701.0,16882.0,14184.0,13487.5,16107.5,5406.0,3329.0,6265.0,2029.5,4816.0,2647.0,2012.5,4223.0,3173.5,2370.0,3738.5,8840.5,6032.0,14189.0,11435.0,5041.0,6679.0,7709.0,6639.5,17096.0,3894.5,3355.5,2353.0,2131.5,2811.0,2613.5,1864.5,2902.0,2309.0,3318.5,8471.5,5104.0,6658.5,6681.0,6475.5,8586.5,8212.5,14991.0,4499.0,11531.5,2251.0,8786.5,8940.5,7884.5,5702.5,9049.0,7342.0,8982.5,10360.5,7307.0,8610.0
B_Dey7.jpeg_persistence.pkl,13510.0,14327.5,12774.0,13206.0,13214.5,14991.5,14646.5,0.0,15572.0,12978.5,15415.0,13744.5,13440.5,13441.0,15571.0,14584.5,14342.5,13697.5,13272.0,13429.5,13061.5,13313.0,12919.5,14311.5,14639.5,12761.0,14629.0,13361.5,15271.5,13591.0,13380.5,7940.0,12188.5,7665.5,8640.5,14268.0,10572.0,10468.5,11991.5,10367.0,20909.0,22354.5,5686.0,16599.5,14997.5,12962.0,18568.0,10640.0,16082.5,14067.0,12651.0,10388.0,14104.5,12042.5,12638.0,14336.0,11567.0,15571.0,15069.0,12954.0,13266.0,10778.0,14600.5,8709.0,12659.0,11377.0,9963.5,11740.5,11577.0,12786.0,12888.0,15167.0,14264.5,13855.5,15474.0,14067.5,14944.5,13300.0,12201.5,13157.5,11647.5,15413.5,15232.0,14338.0,9244.0,10907.5,8320.0,12029.0,14743.5,15029.5,10613.0,9966.5,15129.5,14247.5,11519.5,12843.5,10737.5,10306.5,11833.5,12257.5
B_Dey8.jpg_persistence.pkl,4990.5,3369.0,4369.5,3339.5,5253.5,3813.0,1704.5,15572.0,0.0,5187.0,3680.5,2220.5,2894.0,3168.5,2263.5,1898.5,5680.5,3916.0,3549.5,4046.0,3606.5,3618.0,4325.5,2947.5,1435.0,6575.0,3307.5,4799.0,2903.5,2872.5,6534.5,11763.5,10918.5,14834.0,12556.5,4963.5,8769.0,10410.5,6135.5,6968.5,22439.0,17511.0,13402.5,18041.5,14144.5,17493.5,14666.0,14445.0,16655.0,6341.0,3932.5,7099.5,2212.0,5677.0,3548.0,2472.0,5258.5,3271.0,1885.0,4535.5,9519.5,7027.0,14778.5,12456.5,5558.5,7572.5,8592.5,7443.5,18213.5,4750.0,4068.0,1994.0,2865.5,3260.0,2800.0,2240.0,3152.5,2908.0,4131.0,8955.5,5847.5,6456.5,6945.5,7080.0,9695.0,9120.5,15686.0,5150.0,12037.0,2109.0,9667.5,9929.0,8531.5,6571.5,9523.0,7970.0,10077.0,11416.5,8268.0,9146.0
B_Dey9.jpg_persistence.pkl,2846.5,3666.0,2914.0,4274.0,5124.0,5056.0,4674.5,12978.5,5187.0,0.0,7087.0,4734.0,4417.5,4517.5,5463.5,5838.5,7707.0,6727.5,4291.0,5726.0,5005.5,4498.0,4257.5,5139.5,4824.0,6953.5,6860.5,6386.5,6738.5,5280.0,4504.5,8105.5,7970.0,11337.0,8732.5,5688.5,6072.5,8210.5,5949.0,6046.0,22371.0,17897.5,9811.0,17418.0,13168.5,17383.0,14351.5,12239.0,16131.5,4425.0,4319.5,4847.0,5417.5,5507.5,3709.0,4414.0,4405.0,5884.5,5473.0,5128.5,6659.5,4413.5,13378.0,8815.0,5938.0,3834.0,4743.5,5111.0,13917.0,2178.5,4341.0,5853.0,3493.0,4936.0,5299.0,4117.0,5610.5,4790.5,4619.0,9204.0,4579.0,8534.5,8090.5,5877.0,6686.5,6722.0,12162.0,5304.5,11047.5,4578.0,7739.5,7311.5,6764.0,6648.5,9999.0,6674.5,6246.5,8336.5,4595.5,7022.5
