,R_Dey1.jpg_persistence.pkl,R_Dey10.jpeg_persistence.pkl,R_Dey2.jpg_persistence.pkl,R_Dey3.jpeg_persistence.pkl,R_Dey4.jpg_persistence.pkl,R_Dey5.jpg_persistence.pkl,R_Dey6.jpg_persistence.pkl,R_Dey7.jpeg_persistence.pkl,R_Dey8.jpg_persistence.pkl,R_Dey9.jpg_persistence.pkl,R_Gen1.jpg_persistence.pkl,R_Gen10.jpg_persistence.pkl,R_Gen2.jpg_persistence.pkl,R_Gen3.jpg_persistence.pkl,R_Gen4.png_persistence.pkl,R_Gen5.jpeg_persistence.pkl,R_Gen6.jpg_persistence.pkl,R_Gen7.jpg_persistence.pkl,R_Gen8.jpg_persistence.pkl,R_Gen9.jpg_persistence.pkl,R_Goya1.jpg_persistence.pkl,R_Goya10.jpg_persistence.pkl,R_Goya2.jpg_persistence.pkl,R_Goya3.jpg_persistence.pkl,R_Goya4.jpg_persistence.pkl,R_Goya5.jpg_persistence.pkl,R_Goya6.jpg_persistence.pkl,R_Goya7.jpg_persistence.pkl,R_Goya8.jpg_persistence.pkl,R_Goya9.jpg_persistence.pkl,R_Klimt1.jpg_persistence.pkl,R_Klimt10.jpeg_persistence.pkl,R_Klimt2.jpg_persistence.pkl,R_Klimt3.jpg_persistence.pkl,R_Klimt4.jpg_persistence.pkl,R_Klimt5.jpg_persistence.pkl,R_Klimt6.jpg_persistence.pkl,R_Klimt7.jpg_persistence.pkl,R_Klimt8.jpg_persistence.pkl,R_Klimt9.jpg_persistence.pkl,R_Mithila1.jpg_persistence.pkl,R_Mithila10.jpg_persistence.pkl,R_Mithila2.jpg_persistence.pkl,R_Mithila3.jpg_persistence.pkl,R_Mithila4.jpeg_persistence.pkl,R_Mithila5.jpg_persistence.pkl,R_Mithila6.jpg_persistence.pkl,R_Mithila7.jpeg_persistence.pkl,R_Mithila8.jpeg_persistence.pkl,R_Mithila9.jpg_persistence.pkl,R_Raja1.jpg_persistence.pkl,R_Raja10.jpg_persistence.pkl,R_Raja2.jpg_persistence.pkl,R_Raja3.jpg_persistence.pkl,R_Raja4.jpg_persistence.pkl,R_Raja5.jpeg_persistence.pkl,R_Raja6.jpg_persistence.pkl,R_Raja7.jpg_persistence.pkl,R_Raja8.jpg_persistence.pkl,R_Raja9.jpg_persistence.pkl,R_Ren1.jpg_persistence.pkl,R_Ren10.jpg_persistence.pkl,R_Ren2.jpg_persistence.pkl,R_Ren3.jpg_persistence.pkl,R_Ren4.jpg_persistence.pkl,R_Ren5.jpg_persistence.pkl,R_Ren6.jpg_persistence.pkl,R_Ren7.jpg_persistence.pkl,R_Ren8.jpg_persistence.pkl,R_Ren9.jpeg_persistence.pkl,R_Robert1.jpg_persistence.pkl,R_Robert10.jpg_persistence.pkl,R_Robert2.jpg_persistence.pkl,R_Robert3.jpg_persistence.pkl,R_Robert4.jpg_persistence.pkl,R_Robert5.jpg_persistence.pkl,R_Robert6.jpg_persistence.pkl,R_Robert7.jpg_persistence.pkl,R_Robert8.jpg_persistence.pkl,R_Robert9.jpg_persistence.pkl,R_Sid1.jpeg_persistence.pkl,R_Sid10.jpg_persistence.pkl,R_Sid2.jpeg_persistence.pkl,R_Sid3.jpg_persistence.pkl,R_Sid4.jpg_persistence.pkl,R_Sid5.jpeg_persistence.pkl,R_Sid6.jpeg_persistence.pkl,R_Sid7.jpg_persistence.pkl,R_Sid8.jpg_persistence.pkl,R_Sid9.jpg_persistence.pkl,R_Vin1.jpg_persistence.pkl,R_Vin10.jpg_persistence.pkl,R_Vin2.jpg_persistence.pkl,R_Vin3.jpg_persistence.pkl,R_Vin4.jpg_persistence.pkl,R_Vin5.jpg_persistence.pkl,R_Vin6.jpg_persistence.pkl,R_Vin7.jpg_persistence.pkl,R_Vin8.jpeg_persistence.pkl,R_Vin9.jpg_persistence.pkl
R_Dey1.jpg_persistence.pkl,0.0,7120.0,10586.5,7121.5,13730.0,5195.5,8354.5,17678.0,8542.0,4373.5,8668.0,7785.5,8078.0,7202.5,8889.0,8977.5,11180.5,8557.5,8021.0,8783.0,6874.5,7177.0,5703.5,7941.0,7544.0,9624.0,6709.5,11338.0,8813.5,6437.5,12337.0,16901.5,11325.5,15437.5,31075.0,13423.5,23454.5,22163.5,13194.5,15152.0,30259.0,42432.5,22103.5,18967.0,18132.5,17491.0,23957.5,23157.0,18974.5,27049.5,5995.0,9893.0,6535.0,9734.5,5886.5,4920.0,6838.0,6664.0,7385.5,8451.5,12127.0,12476.0,16294.5,11219.5,10954.5,8649.5,14843.5,6144.0,16528.0,5225.5,8722.5,9229.0,8244.0,9842.0,10112.0,8106.0,11096.5,8963.0,10995.5,16055.5,5637.5,13195.5,16193.0,13049.0,8325.0,12773.5,20486.5,13398.0,19468.5,10616.5,15116.0,17683.5,11746.0,9375.5,11478.0,7743.5,16651.5,18433.5,9801.0,14002.0
R_Dey10.jpeg_persistence.pkl,7120.0,0.0,7837.5,5447.0,11794.5,6145.0,4967.0,16203.0,5145.5,5529.5,8298.0,5403.5,5179.5,4345.0,4667.5,5340.5,8744.5,6968.5,7075.0,6605.5,4867.0,4681.5,6969.0,5047.0,4984.0,9161.0,4943.0,9242.0,6707.5,4159.0,12297.0,19775.5,16304.0,18588.0,29137.5,14839.5,22462.0,20339.0,12026.5,14625.5,34890.0,46303.0,26142.5,24332.0,21950.0,17260.0,23374.5,27468.0,23273.5,28839.5,4750.0,8674.0,3547.0,9459.5,4282.5,5660.0,6593.0,4802.5,5583.0,5444.0,13151.0,13176.0,18240.0,16191.5,12055.5,12664.5,18081.5,10655.0,22602.0,6345.0,5633.0,4661.0,4714.0,5347.0,6169.0,4134.5,6888.0,6153.5,7641.5,13520.5,6528.0,13113.0,17586.5,14009.5,11571.5,15420.5,23842.5,14007.5,21403.5,8392.0,16392.5,20763.0,14947.0,14082.0,11128.5,11900.5,16178.5,24122.0,14201.0,17438.0
R_Dey2.jpg_persistence.pkl,10586.5,7837.5,0.0,5134.5,6244.5,11978.0,9008.0,17343.0,9203.5,8645.0,13553.5,9355.5,7962.0,8079.5,6865.5,9189.5,12650.5,11061.5,11518.0,8672.5,7802.0,8048.5,12025.5,8200.0,9328.5,13221.5,8484.0,13036.0,10754.0,8890.5,8209.5,16843.0,16543.0,18654.5,23226.5,13574.0,18420.0,15543.5,9887.5,9923.5,35259.0,44051.5,24185.0,25138.0,21568.5,15662.0,21087.0,28790.0,23229.0,26976.5,7466.5,9634.0,8202.0,13098.0,9327.5,8694.0,7804.5,9156.5,4858.5,5920.5,16516.0,11647.0,15029.0,18215.0,13878.5,11792.5,16402.5,11568.0,24350.5,9071.5,5044.0,8106.0,7056.0,6956.0,10045.0,7935.5,8212.0,6935.5,10491.5,15419.5,8696.5,10559.5,15605.5,10189.0,12463.5,17261.5,21712.0,12097.5,18373.0,9395.5,19221.5,18569.5,14256.0,15350.5,10498.5,12605.5,12448.0,26663.5,15703.0,15811.0
R_Dey3.jpeg_persistence.pkl,7121.5,5447.0,5134.5,0.0,8468.0,8714.0,6887.5,14913.5,6992.0,5587.0,10829.0,6857.0,5681.5,5685.5,5685.0,7075.5,10029.0,8462.0,8880.5,6268.0,4685.0,5015.5,8177.0,5702.5,6626.5,10395.5,5537.5,10418.0,8361.0,6163.0,9082.0,16412.0,13844.0,15871.5,25587.0,11636.0,19029.0,16932.0,8929.0,10893.5,32506.0,43554.5,22780.0,22252.0,19688.0,14347.0,20198.0,25711.0,21056.0,25804.5,4524.0,6697.0,5452.5,10109.5,6035.0,5799.5,4917.0,5655.0,2968.0,4790.5,13470.5,9995.5,15661.5,14623.0,11008.5,9762.0,14981.5,8590.0,20801.0,5678.5,4113.5,6551.5,4955.0,5586.0,7560.5,5985.0,6563.0,5579.0,7932.0,12853.0,5637.0,9732.0,14293.0,11244.0,9974.5,14065.0,20739.0,11405.0,18616.0,8103.0,16348.0,17269.0,11769.5,12174.0,8433.0,9297.0,13505.0,23068.0,12375.0,14705.0
R_Dey4.jpg_persistence.pkl,13730.0,11794.5,6244.5,8468.0,0.0,16056.0,12171.5,20292.5,13036.5,11565.0,17205.0,13077.5,11496.0,11895.5,9920.0,12458.5,15979.0,14824.5,15347.0,12332.0,11539.5,11888.5,15973.5,11862.0,12892.5,17081.5,12409.0,16695.5,14202.5,12901.5,9839.5,16432.5,17866.0,18613.0,23134.5,14454.5,19877.0,16652.0,12029.5,9356.0,34271.5,41067.0,23458.5,24356.0,20049.0,17070.5,21877.5,30362.5,22392.0,24072.0,11397.0,12811.5,12044.0,16832.0,13477.0,12534.0,11431.5,12178.5,7942.5,10382.0,20417.0,13718.0,12132.0,20554.0,17529.5,13355.0,17693.0,13727.5,24874.0,12714.5,8257.5,11256.0,10548.0,10173.0,13131.5,11136.0,10869.5,10527.0,13631.0,18477.5,12396.5,12164.0,15984.0,9219.5,14438.5,20087.5,21864.5,14385.0,14719.0,12063.0,23007.0,19528.0,15139.0,17222.5,13778.0,13962.5,12149.0,28869.0,16905.0,14559.0
R_Dey5.jpg_persistence.pkl,5195.5,6145.0,11978.0,8714.0,16056.0,0.0,6988.5,15967.0,7010.5,6680.0,7013.5,6035.0,7444.5,6165.5,8239.0,7463.0,9422.0,6454.0,6245.0,7956.5,6667.5,6319.5,4045.5,6692.5,5938.5,7423.5,6293.0,8778.0,7442.5,5126.5,14406.0,18099.0,12500.0,17416.0,32216.5,14590.5,23913.5,23385.5,13981.5,17396.5,31388.5,44007.0,23570.5,20464.5,19415.5,16801.5,23938.0,23785.5,20175.0,30243.0,5950.5,9330.5,5233.5,7090.5,4902.0,4289.0,6849.0,6852.5,9132.0,9094.0,9911.0,12521.0,19033.5,12342.0,9766.0,10058.0,15739.0,8354.0,18060.0,5094.0,9002.0,7931.5,7398.0,8925.5,8612.0,6956.5,10966.5,8905.5,9907.5,14258.5,5310.0,14209.0,18247.0,16234.5,8655.0,12497.0,21781.0,13268.5,22718.5,10431.5,13202.0,18578.5,13178.0,10654.0,11140.0,9696.0,18612.5,19012.0,11378.0,16344.5
R_Dey6.jpg_persistence.pkl,8354.5,4967.0,9008.0,6887.5,12171.5,6988.5,0.0,14982.5,2939.5,8362.5,6001.5,2921.0,4277.5,2887.5,4324.5,2532.0,6058.0,4212.5,4494.0,5554.0,3852.5,5964.5,6742.0,4275.5,2715.0,6630.5,4756.5,6119.5,3209.0,2883.5,14219.5,20297.0,17356.5,20319.0,30118.5,16498.0,23395.5,21613.5,12177.0,16287.0,36334.5,48686.0,26286.5,26040.5,24656.5,16247.5,23840.0,28332.0,25420.0,31609.0,5224.5,8689.0,3273.0,7852.5,4157.0,5512.5,6657.5,6711.0,7682.5,7549.5,11727.5,13610.5,21652.0,16508.0,11444.5,13744.0,18764.0,11401.0,23163.0,6585.5,5598.0,3441.5,4689.0,4442.5,4155.0,3216.0,6508.0,6315.0,7030.0,12860.0,7730.0,13858.5,19064.5,17367.5,13976.5,14814.5,25295.5,14582.5,24578.0,8997.0,14251.0,20660.0,15241.5,14667.5,10873.0,12343.5,19241.5,23761.5,15716.0,20105.5
R_Dey7.jpeg_persistence.pkl,17678.0,16203.0,17343.0,14913.5,20292.5,15967.0,14982.5,0.0,14412.0,17907.5,13841.0,13290.0,12884.0,13744.5,14973.5,14882.0,11635.0,13044.0,12964.0,11289.0,13556.0,13533.0,14364.5,13043.0,14081.5,12955.5,13647.5,11748.5,13483.5,14695.0,17095.5,17506.5,19183.0,18585.0,32916.0,16729.5,21357.5,24773.5,16465.0,18725.0,34760.0,47073.0,23323.5,26588.5,24346.5,12450.5,20669.5,23236.5,25731.0,33517.5,13615.0,10273.5,14418.0,12267.0,14247.5,13956.5,12686.0,16366.0,15017.0,16793.0,13448.0,13581.5,24472.0,12812.5,9842.0,16290.0,14451.0,16920.5,22273.5,13830.5,14623.0,16081.5,12774.5,13727.0,14912.5,15438.5,15326.5,13623.0,11812.0,10556.0,14309.5,18217.0,22074.5,22711.0,17107.5,13269.0,23698.0,18045.5,28343.0,16273.5,15408.5,15823.0,13297.5,14777.0,9171.5,15404.0,22450.5,22699.0,18155.0,22996.5
R_Dey8.jpg_persistence.pkl,8542.0,5145.5,9203.5,6992.0,13036.5,7010.5,2939.5,14412.0,0.0,8074.0,5958.5,2284.5,3889.5,3444.5,4697.0,1800.0,5459.5,3326.0,4587.0,5256.0,4185.0,6108.0,7164.0,4135.5,2572.0,5600.5,3985.0,5183.5,2807.0,2966.5,14174.5,20445.5,18534.5,20282.5,30490.5,16922.0,23611.0,21864.0,12643.0,16370.0,36699.5,49552.0,27473.5,26660.5,24915.0,16418.0,23771.0,28584.5,26053.0,31618.5,5650.5,8435.5,3465.5,8652.0,4117.0,5511.5,7094.0,7244.5,7710.5,7749.5,11159.0,14224.5,21855.0,16662.0,11067.0,14487.0,19069.5,12481.5,23632.5,6615.5,5880.0,3595.5,4830.0,4860.0,4567.5,3480.0,7229.5,6506.0,6640.0,12507.0,8459.5,14559.0,19650.5,17493.5,14587.0,15203.0,26131.0,15425.0,24993.0,9340.5,14173.0,20727.0,15041.5,15188.5,10628.0,13072.5,19495.5,24396.5,16428.5,20420.0
R_Dey9.jpg_persistence.pkl,4373.5,5529.5,8645.0,5587.0,11565.0,6680.0,8362.5,17907.5,8074.0,0.0,10471.0,8009.5,7419.5,7113.5,7687.0,8388.0,11617.5,9500.0,9296.0,8875.0,6756.0,6889.0,7503.0,7580.5,7527.0,11065.5,6226.0,11897.0,9600.5,6451.0,11777.0,18208.5,13832.0,16564.0,29911.5,13987.0,23132.5,21197.0,13244.5,13957.0,31690.0,43463.0,24522.0,20123.5,18254.0,18226.0,24086.0,25841.5,20836.5,25779.0,6098.0,9934.0,6258.0,11543.5,6184.5,6146.5,7445.0,5557.5,6010.5,7609.5,14171.5,13279.5,15449.0,13820.0,12732.5,10474.0,16497.5,7778.0,18403.5,5948.5,7577.5,8323.0,7568.0,8790.0,9727.5,7365.0,9922.5,8343.0,10685.0,16062.0,6955.0,13348.5,16814.5,11793.5,9970.5,15035.5,22270.0,14623.0,19190.0,10346.0,17192.5,19211.5,13059.0,10701.5,11678.5,9885.0,15684.0,21264.5,10439.0,14187.0
