,G_Dey1.jpg_persistence.pkl,G_Dey10.jpeg_persistence.pkl,G_Dey2.jpg_persistence.pkl,G_Dey3.jpeg_persistence.pkl,G_Dey4.jpg_persistence.pkl,G_Dey5.jpg_persistence.pkl,G_Dey6.jpg_persistence.pkl,G_Dey7.jpeg_persistence.pkl,G_Dey8.jpg_persistence.pkl,G_Dey9.jpg_persistence.pkl,G_Gen1.jpg_persistence.pkl,G_Gen10.jpg_persistence.pkl,G_Gen2.jpg_persistence.pkl,G_Gen3.jpg_persistence.pkl,G_Gen4.png_persistence.pkl,G_Gen5.jpeg_persistence.pkl,G_Gen6.jpg_persistence.pkl,G_Gen7.jpg_persistence.pkl,G_Gen8.jpg_persistence.pkl,G_Gen9.jpg_persistence.pkl,G_Goya1.jpg_persistence.pkl,G_Goya10.jpg_persistence.pkl,G_Goya2.jpg_persistence.pkl,G_Goya3.jpg_persistence.pkl,G_Goya4.jpg_persistence.pkl,G_Goya5.jpg_persistence.pkl,G_Goya6.jpg_persistence.pkl,G_Goya7.jpg_persistence.pkl,G_Goya8.jpg_persistence.pkl,G_Goya9.jpg_persistence.pkl,G_Klimt1.jpg_persistence.pkl,G_Klimt10.jpeg_persistence.pkl,G_Klimt2.jpg_persistence.pkl,G_Klimt3.jpg_persistence.pkl,G_Klimt4.jpg_persistence.pkl,G_Klimt5.jpg_persistence.pkl,G_Klimt6.jpg_persistence.pkl,G_Klimt7.jpg_persistence.pkl,G_Klimt8.jpg_persistence.pkl,G_Klimt9.jpg_persistence.pkl,G_Mithila1.jpg_persistence.pkl,G_Mithila10.jpg_persistence.pkl,G_Mithila2.jpg_persistence.pkl,G_Mithila3.jpg_persistence.pkl,G_Mithila4.jpeg_persistence.pkl,G_Mithila5.jpg_persistence.pkl,G_Mithila6.jpg_persistence.pkl,G_Mithila7.jpeg_persistence.pkl,G_Mithila8.jpeg_persistence.pkl,G_Mithila9.jpg_persistence.pkl,G_Raja1.jpg_persistence.pkl,G_Raja10.jpg_persistence.pkl,G_Raja2.jpg_persistence.pkl,G_Raja3.jpg_persistence.pkl,G_Raja4.jpg_persistence.pkl,G_Raja5.jpeg_persistence.pkl,G_Raja6.jpg_persistence.pkl,G_Raja7.jpg_persistence.pkl,G_Raja8.jpg_persistence.pkl,G_Raja9.jpg_persistence.pkl,G_Ren1.jpg_persistence.pkl,G_Ren10.jpg_persistence.pkl,G_Ren2.jpg_persistence.pkl,G_Ren3.jpg_persistence.pkl,G_Ren4.jpg_persistence.pkl,G_Ren5.jpg_persistence.pkl,G_Ren6.jpg_persistence.pkl,G_Ren7.jpg_persistence.pkl,G_Ren8.jpg_persistence.pkl,G_Ren9.jpeg_persistence.pkl,G_Robert1.jpg_persistence.pkl,G_Robert10.jpg_persistence.pkl,G_Robert2.jpg_persistence.pkl,G_Robert3.jpg_persistence.pkl,G_Robert4.jpg_persistence.pkl,G_Robert5.jpg_persistence.pkl,G_Robert6.jpg_persistence.pkl,G_Robert7.jpg_persistence.pkl,G_Robert8.jpg_persistence.pkl,G_Robert9.jpg_persistence.pkl,G_Sid1.jpeg_persistence.pkl,G_Sid10.jpg_persistence.pkl,G_Sid2.jpeg_persistence.pkl,G_Sid3.jpg_persistence.pkl,G_Sid4.jpg_persistence.pkl,G_Sid5.jpeg_persistence.pkl,G_Sid6.jpeg_persistence.pkl,G_Sid7.jpg_persistence.pkl,G_Sid8.jpg_persistence.pkl,G_Sid9.jpg_persistence.pkl,G_Vin1.jpg_persistence.pkl,G_Vin10.jpg_persistence.pkl,G_Vin2.jpg_persistence.pkl,G_Vin3.jpg_persistence.pkl,G_Vin4.jpg_persistence.pkl,G_Vin5.jpg_persistence.pkl,G_Vin6.jpg_persistence.pkl,G_Vin7.jpg_persistence.pkl,G_Vin8.jpeg_persistence.pkl,G_Vin9.jpg_persistence.pkl
G_Dey1.jpg_persistence.pkl,0.0,6993.5,9501.0,4364.5,14028.5,5624.0,8066.0,16863.0,7913.5,5463.5,8549.0,7931.5,8147.5,6617.0,9113.5,8654.5,10805.0,8379.5,6753.0,8312.0,7847.0,7716.5,5258.5,8267.5,6817.0,7554.5,7682.0,9286.5,8165.5,6713.0,11219.5,14246.0,16598.0,14106.0,32877.5,9865.0,22198.0,21765.5,10889.5,10724.0,29187.0,42953.0,18071.0,17170.5,20945.5,11073.5,16790.0,21985.5,15582.5,17785.0,7258.5,8386.5,5921.0,7224.5,5236.5,5846.0,5925.0,5037.0,5087.0,7947.5,6537.5,9723.0,19154.5,13256.0,6713.5,11195.5,9531.0,11491.0,18885.0,4726.0,8379.0,9070.5,6474.0,8551.0,9742.5,8187.0,10012.0,7425.5,9135.5,11743.5,4532.5,10462.0,10989.5,10317.0,7900.5,12731.5,18879.5,11272.0,12862.5,10685.5,9410.0,16231.5,10375.0,12947.5,7451.0,14224.0,17106.5,21279.0,18761.0,14725.0
G_Dey10.jpeg_persistence.pkl,6993.5,0.0,6198.0,5009.5,10125.0,7787.5,5218.5,16237.0,6271.0,5134.0,8999.0,5626.0,6236.5,5240.5,4384.0,5491.0,8842.5,7013.0,6998.0,6975.5,5292.5,5467.5,7217.5,5225.5,5067.0,9098.0,6668.5,8628.5,6876.0,5224.5,9871.0,18357.5,15534.5,17947.5,31913.5,12457.5,21869.0,19403.5,11163.5,11831.0,32203.5,44906.5,21844.5,20143.0,21353.5,14342.0,18307.5,25286.0,16302.0,20206.5,5560.5,8577.0,5040.5,8394.0,4467.5,5676.0,5735.0,5792.5,5321.0,6606.5,12147.0,11839.0,17222.5,15578.5,9820.0,10368.0,13448.0,10267.0,21049.0,4674.5,4872.0,4749.0,3709.0,4748.0,6394.0,3926.5,6225.0,4431.0,7225.5,11923.5,6640.5,11752.0,14526.5,12646.5,11587.5,17100.5,22413.5,13025.0,18425.0,8256.0,13744.5,20358.0,14703.0,14579.0,9296.0,10997.0,15974.5,22864.0,15212.5,14249.5
G_Dey2.jpg_persistence.pkl,9501.0,6198.0,0.0,7260.5,6646.5,11306.5,8605.0,16303.0,9744.0,8029.0,12359.0,8777.0,9053.0,8157.5,7168.5,8790.5,11741.0,10149.0,10236.5,8585.0,6061.5,6487.5,10446.0,7824.5,8552.0,11962.5,9914.0,11925.5,10192.0,8378.5,8058.0,15659.5,12209.5,16887.0,27817.0,12109.5,17958.5,14935.0,9304.0,10689.0,31349.0,43093.5,21355.0,20541.5,20867.0,14324.5,16351.5,25113.5,16466.0,20684.5,7988.5,10195.5,8257.0,9021.0,7346.0,7786.5,7267.0,9224.0,7636.0,7421.0,12424.0,11231.0,13918.5,13453.0,9321.5,7126.0,12704.5,6535.0,18824.5,6258.0,3623.0,7568.5,5483.5,6553.0,8992.0,6212.0,7523.5,5739.0,8860.5,10640.0,7573.0,8825.0,11377.0,10110.0,10885.5,16961.5,19293.0,11429.5,18884.0,9747.0,13217.5,16863.0,15213.5,10921.5,10823.5,7570.5,11728.5,21559.0,10985.5,13420.0
G_Dey3.jpeg_persistence.pkl,4364.5,5009.5,7260.5,0.0,12034.0,6740.5,4955.0,14997.5,5170.0,5607.5,7239.0,4982.5,5230.5,4069.0,6065.5,5289.5,7989.0,5713.5,5470.0,5611.0,5166.5,5848.5,5041.5,5176.0,4130.0,6452.5,5181.0,7164.5,5251.5,3925.5,10112.0,15535.5,16669.0,15928.0,32285.0,10186.0,21160.5,19852.0,9831.5,11023.5,31353.5,45197.5,20741.0,19330.0,21918.0,11877.5,17145.5,24301.5,16816.0,19765.5,5068.5,6479.5,3868.5,6759.0,3182.5,4092.0,4218.0,4891.0,4279.5,6173.0,9558.5,10593.0,18383.5,14299.5,7659.0,10685.0,12028.0,10561.0,20719.0,4347.5,5967.5,6069.5,3868.5,5738.0,6734.5,5219.5,7298.5,4816.0,6933.5,10578.0,5463.0,9887.5,13133.5,12626.0,10138.0,14646.0,20973.5,11223.5,15882.0,8355.5,12749.5,18060.5,13250.0,13057.0,7387.0,12762.5,16340.0,23103.5,16718.5,15017.5
G_Dey4.jpg_persistence.pkl,14028.5,10125.0,6646.5,12034.0,0.0,16460.0,12516.0,19537.0,13500.5,11932.0,16271.5,12900.0,13214.5,12466.5,10799.5,12696.0,15723.5,14414.0,15026.0,12733.0,9930.0,10215.5,15179.5,11817.5,12827.0,16624.5,14237.5,16195.5,14153.5,12705.0,9595.5,18351.5,9658.0,19145.5,24945.0,15604.0,17216.5,13002.5,11401.5,12309.5,30098.0,39925.5,21916.5,21185.0,20318.0,17112.0,17971.5,25517.5,16582.5,21289.0,12417.0,14475.5,12533.5,12660.0,11908.5,12671.5,11641.0,14295.0,12492.0,11421.0,16069.5,13640.5,11315.5,13889.0,13625.5,7076.0,14368.0,7228.5,16723.0,10784.0,8200.0,11148.0,9582.0,10311.0,12740.5,9815.5,10823.5,10188.5,12167.5,14102.5,12220.0,11182.5,11750.0,12136.0,14004.0,20720.5,19349.0,13476.0,22013.5,12587.0,14923.0,18689.0,16752.5,13475.5,14774.5,6401.0,10601.5,20583.5,8355.5,14206.0
G_Dey5.jpg_persistence.pkl,5624.0,7787.5,11306.5,6740.5,16460.0,0.0,7386.0,17251.0,7017.0,6958.5,8963.5,6873.5,7608.0,6485.0,8516.0,7420.0,10053.5,7287.5,5367.0,8782.0,8589.5,8374.5,5339.0,7498.0,6187.0,6928.5,6914.0,8433.5,7764.0,6319.0,14494.5,17264.0,19992.0,16068.5,35970.5,12541.0,24740.0,24621.0,13234.5,13801.5,31498.0,45039.0,19917.0,19508.0,23703.5,13266.0,18401.5,24511.0,18395.5,20164.0,7641.0,9170.0,5820.5,9326.0,6778.5,5797.0,7511.5,4737.0,5356.5,9302.5,9325.0,12631.5,22631.5,16229.0,9135.0,14544.5,12655.5,14550.0,21816.5,6592.5,9507.5,8292.0,7363.5,8489.5,8827.0,8215.0,10185.0,8385.0,10688.5,13536.5,6354.5,12715.0,14134.0,11813.0,10379.5,14725.5,21739.0,12445.0,14800.5,11009.0,11451.0,19108.5,12713.0,15778.5,10079.0,17057.5,20562.5,23472.5,21103.5,17850.0
G_Dey6.jpg_persistence.pkl,8066.0,5218.5,8605.0,4955.0,12516.0,7386.0,0.0,14379.0,2077.0,8305.5,4900.5,2192.0,3399.0,2733.5,4210.0,1914.5,5289.5,2950.5,4093.5,4504.0,3898.0,5634.5,5896.5,3408.0,2366.0,5559.0,3230.5,4465.0,2647.0,2244.5,13060.0,17483.0,19752.5,18318.0,35036.5,12584.5,23191.0,21898.0,11186.5,13876.5,34413.0,48310.5,23964.5,22654.0,25202.5,13847.5,19334.5,26677.5,19881.0,22614.5,4548.5,7157.0,3200.0,8540.0,4155.5,4862.0,5331.0,6424.5,5522.5,5832.0,13450.0,12972.5,21528.5,16637.0,9400.0,13748.5,15333.0,13412.5,24026.0,6774.0,6227.5,3480.5,4611.0,4261.5,4316.0,3972.5,6036.0,5495.5,6352.0,11907.0,7878.0,11418.0,16331.5,15773.0,13370.0,17050.0,23448.0,12216.0,19559.5,9129.5,16379.5,20965.0,16676.5,15568.0,9401.0,15128.0,19406.5,26280.5,17654.5,18235.5
G_Dey7.jpeg_persistence.pkl,16863.0,16237.0,16303.0,14997.5,19537.0,17251.0,14379.0,0.0,15172.5,18194.5,13730.0,13631.5,11976.5,13595.5,14792.5,15066.0,11258.0,13226.5,12800.0,11244.0,13361.5,13234.0,13803.5,13233.5,14324.0,13505.5,12840.5,12544.5,14860.0,14219.5,17591.0,13256.0,23243.5,14393.0,34105.0,10860.0,20319.0,23890.0,13227.5,14465.5,32727.5,45393.5,21591.5,23094.0,26119.0,12149.5,17778.5,21478.0,21892.0,22620.5,12131.5,10003.5,13838.0,11503.0,14071.0,13291.5,12556.5,16062.0,13957.0,13456.0,17569.5,12025.0,23821.0,13039.5,12575.0,19090.0,16777.5,18894.0,24768.5,15419.0,15150.5,16054.0,14424.5,13631.5,14870.0,15147.5,14004.0,13889.0,11774.0,10364.0,14336.0,12729.5,17109.5,19008.5,15435.5,13272.0,18594.0,13950.0,18710.5,15912.5,20273.5,17624.0,18246.5,15596.5,10514.5,20143.5,21653.0,25914.0,23057.5,22607.5
G_Dey8.jpg_persistence.pkl,7913.5,6271.0,9744.0,5170.0,13500.5,7017.0,2077.0,15172.5,0.0,8904.0,4458.5,2513.5,3919.5,2836.5,5105.0,1960.0,5673.5,3059.5,4229.5,5250.0,4998.5,6526.5,6170.5,4414.0,2643.0,5305.0,3116.0,4685.0,2406.0,2146.5,14118.0,18257.0,20872.0,18989.0,36193.5,13429.5,24369.0,23143.0,12240.5,14832.0,35131.0,49173.5,24656.0,23252.0,26040.0,14697.0,20130.5,27606.5,20808.0,23327.5,5521.5,8075.5,3394.0,9542.0,4805.5,5620.0,6392.5,7171.0,6027.0,6579.0,13624.5,14015.0,22602.0,17599.5,10443.0,14711.5,16037.0,14431.5,24830.5,7583.0,7254.5,4063.0,5379.0,5253.0,5002.0,4941.0,6870.0,6591.0,7408.0,13066.5,8440.0,12535.0,17043.0,16503.5,13994.0,17716.5,24423.0,12821.5,19897.5,9646.0,16744.0,21661.0,17185.0,16685.0,10361.5,16288.0,20509.0,27127.5,18666.5,19247.0
G_Dey9.jpg_persistence.pkl,5463.5,5134.0,8029.0,5607.5,11932.0,6958.5,8305.5,18194.5,8904.0,0.0,11583.0,8413.5,8801.5,7750.5,8136.0,8516.0,11737.0,9613.5,8598.0,9075.0,8024.0,8132.0,8561.5,8628.5,7752.0,10319.0,9008.5,11181.5,9652.0,7875.5,9608.0,17576.5,14777.0,16656.5,31921.0,12118.0,22589.5,20672.5,12339.5,11069.5,29403.0,42451.0,18793.5,16746.5,19056.5,14182.0,18114.5,22751.0,13639.5,17372.0,7778.0,10178.5,7562.5,9505.5,6593.0,7460.0,7079.0,4629.0,6541.5,9286.0,10021.5,11625.5,16892.0,14791.0,9297.5,10021.0,11226.5,10341.5,18673.0,4959.0,7252.5,8587.0,6001.0,8130.5,10031.5,7586.0,9649.5,6858.5,10045.0,13163.0,6869.5,12229.5,13024.0,9811.0,9880.0,16117.0,21104.0,14216.5,15890.5,10529.0,10425.0,19399.0,11358.0,14520.0,9453.0,11761.0,15719.0,20000.5,16923.5,12342.5
