,Dey1.jpg_persistence.pkl,Dey10.jpeg_persistence.pkl,Dey2.jpg_persistence.pkl,Dey3.jpeg_persistence.pkl,Dey4.jpg_persistence.pkl,Dey5.jpg_persistence.pkl,Dey6.jpg_persistence.pkl,Dey7.jpeg_persistence.pkl,Dey8.jpg_persistence.pkl,Dey9.jpg_persistence.pkl,Gen1.jpg_persistence.pkl,Gen10.jpg_persistence.pkl,Gen2.jpg_persistence.pkl,Gen3.jpg_persistence.pkl,Gen4.png_persistence.pkl,Gen5.jpeg_persistence.pkl,Gen6.jpg_persistence.pkl,Gen7.jpg_persistence.pkl,Gen8.jpg_persistence.pkl,Gen9.jpg_persistence.pkl,Goya1.jpg_persistence.pkl,Goya10.jpg_persistence.pkl,Goya2.jpg_persistence.pkl,Goya3.jpg_persistence.pkl,Goya4.jpg_persistence.pkl,Goya5.jpg_persistence.pkl,Goya6.jpg_persistence.pkl,Goya7.jpg_persistence.pkl,Goya8.jpg_persistence.pkl,Goya9.jpg_persistence.pkl,Klimt1.jpg_persistence.pkl,Klimt10.jpeg_persistence.pkl,Klimt2.jpg_persistence.pkl,Klimt3.jpg_persistence.pkl,Klimt4.jpg_persistence.pkl,Klimt5.jpg_persistence.pkl,Klimt6.jpg_persistence.pkl,Klimt7.jpg_persistence.pkl,Klimt8.jpg_persistence.pkl,Klimt9.jpg_persistence.pkl,Mithila1.jpg_persistence.pkl,Mithila10.jpg_persistence.pkl,Mithila2.jpg_persistence.pkl,Mithila3.jpg_persistence.pkl,Mithila4.jpeg_persistence.pkl,Mithila5.jpg_persistence.pkl,Mithila6.jpg_persistence.pkl,Mithila7.jpeg_persistence.pkl,Mithila8.jpeg_persistence.pkl,Mithila9.jpg_persistence.pkl,Raja1.jpg_persistence.pkl,Raja10.jpg_persistence.pkl,Raja2.jpg_persistence.pkl,Raja3.jpg_persistence.pkl,Raja4.jpg_persistence.pkl,Raja5.jpeg_persistence.pkl,Raja6.jpg_persistence.pkl,Raja7.jpg_persistence.pkl,Raja8.jpg_persistence.pkl,Raja9.jpg_persistence.pkl,Ren1.jpg_persistence.pkl,Ren10.jpg_persistence.pkl,Ren2.jpg_persistence.pkl,Ren3.jpg_persistence.pkl,Ren4.jpg_persistence.pkl,Ren5.jpg_persistence.pkl,Ren6.jpg_persistence.pkl,Ren7.jpg_persistence.pkl,Ren8.jpg_persistence.pkl,Ren9.jpeg_persistence.pkl,Robert1.jpg_persistence.pkl,Robert10.jpg_persistence.pkl,Robert2.jpg_persistence.pkl,Robert3.jpg_persistence.pkl,Robert4.jpg_persistence.pkl,Robert5.jpg_persistence.pkl,Robert6.jpg_persistence.pkl,Robert7.jpg_persistence.pkl,Robert8.jpg_persistence.pkl,Robert9.jpg_persistence.pkl,Sid1.jpeg_persistence.pkl,Sid10.jpg_persistence.pkl,Sid2.jpeg_persistence.pkl,Sid3.jpg_persistence.pkl,Sid4.jpg_persistence.pkl,Sid5.jpeg_persistence.pkl,Sid6.jpeg_persistence.pkl,Sid7.jpg_persistence.pkl,Sid8.jpg_persistence.pkl,Sid9.jpg_persistence.pkl,Vin1.jpg_persistence.pkl,Vin10.jpg_persistence.pkl,Vin2.jpg_persistence.pkl,Vin3.jpg_persistence.pkl,Vin4.jpg_persistence.pkl,Vin5.jpg_persistence.pkl,Vin6.jpg_persistence.pkl,Vin7.jpg_persistence.pkl,Vin8.jpeg_persistence.pkl,Vin9.jpg_persistence.pkl
Dey1.jpg_persistence.pkl,0.0,3973.0,4855.0,3083.5,6494.0,3640.5,4845.0,12329.0,5182.5,2685.0,5747.0,3951.5,4757.0,4412.5,5592.5,5212.5,6697.0,5365.0,3721.0,5509.0,4810.0,4213.0,3169.5,4622.5,4387.0,5961.5,3648.5,4964.0,4713.5,3871.5,5166.5,8503.5,8791.0,13312.0,10278.5,5770.0,7974.0,9789.0,6516.5,6100.5,19849.0,17914.5,9893.0,15985.5,12172.5,12221.0,16611.5,11687.5,15246.0,5929.5,4121.0,5913.0,3810.5,4534.0,2872.0,2816.5,4191.5,3790.5,2924.0,4621.0,6532.5,4624.5,14363.0,8990.5,4225.0,5606.0,5985.5,4290.0,12699.5,2729.0,5227.5,5015.0,4229.0,5940.0,5827.5,4827.5,5881.5,4644.0,4709.0,5930.0,4423.5,6342.5,4552.5,4582.5,7838.0,4612.5,11376.0,4724.0,8727.5,4761.0,4812.0,7500.0,5083.0,5281.0,3374.0,6601.5,7693.5,9248.0,7259.0,7024.5
Dey10.jpeg_persistence.pkl,3973.0,0.0,2978.5,2709.5,4151.5,3194.0,2911.5,13630.5,3151.0,3434.0,5120.5,2341.5,3065.5,3307.0,2351.5,3602.0,5743.0,5201.5,3297.0,4489.0,3082.0,2247.0,3569.5,2188.5,2463.5,7907.0,3299.0,5428.5,3889.0,2895.0,4956.0,9884.5,8568.0,12639.0,8159.0,5929.5,6477.0,6870.5,5038.0,5896.0,17729.5,15155.5,9872.0,15059.0,11884.0,12657.5,14351.0,12377.5,13786.5,4429.0,3233.5,5387.5,1940.0,3889.0,2726.5,2313.0,4269.5,2248.0,1849.0,3460.5,9297.5,4673.5,12615.0,10396.0,4993.0,5880.0,7486.0,4656.5,13668.0,2467.0,2700.5,2063.0,2240.5,2703.0,2836.5,1906.0,2558.0,1987.0,2556.0,5543.5,3833.0,5337.5,4529.5,5234.0,8155.0,5908.0,10335.0,3453.0,10167.0,2199.5,7431.0,8296.5,6971.5,4511.0,4619.0,5334.0,6853.0,9769.5,6157.5,7681.5
Dey2.jpg_persistence.pkl,4855.0,2978.5,0.0,3123.5,2457.0,4736.0,3954.0,12851.5,4208.0,3723.0,6130.0,3312.0,3626.0,3692.0,3237.0,4750.0,6551.0,6780.5,4527.5,4463.0,3121.5,2742.0,5071.5,3081.5,3532.5,8890.5,4598.0,6712.0,5016.5,3712.0,3557.0,8631.5,7095.5,11076.5,6756.5,6364.5,5928.5,6857.5,4853.0,4329.5,16288.0,15124.0,8201.0,12747.5,9858.0,12644.0,13777.0,11426.0,11629.0,2580.5,4003.0,5183.5,3241.0,4439.5,3607.5,3548.5,4728.5,3689.0,3156.5,3737.0,10167.0,4446.5,10531.0,9369.5,5751.0,4475.0,6528.5,4013.0,12283.5,2838.0,1461.0,2856.5,2036.0,2937.5,3811.0,2395.0,3105.0,2029.0,3094.5,5893.0,4439.5,4577.5,3737.5,4652.0,7007.0,7260.5,9251.5,5239.0,9630.5,3469.5,7824.0,7168.0,6542.0,3609.0,4869.5,4986.5,4665.0,8151.0,4141.5,6728.0
Dey3.jpeg_persistence.pkl,3083.5,2709.5,3123.5,0.0,4460.0,3630.0,3149.5,12503.0,3792.5,2794.0,4794.0,2563.0,2864.5,2787.5,3644.5,4100.5,5268.0,5462.5,3050.0,3968.0,2756.5,2309.5,3283.0,2776.0,2846.5,6922.5,3356.5,5196.5,3903.0,2613.0,4113.5,8782.5,7910.5,11765.5,8079.0,5469.5,6224.0,7338.0,4795.0,4941.0,17660.0,15458.0,9003.5,14297.5,10894.0,11939.0,14353.5,11656.5,13254.0,4231.0,2804.0,4597.5,2235.0,3353.5,2132.0,2520.5,3298.5,3044.5,2548.5,3216.5,8203.5,3990.5,12296.5,9244.5,4485.0,4837.0,6617.5,4149.0,12534.5,2280.0,3272.5,3133.0,2723.0,3730.0,3886.5,2782.0,3621.5,2768.5,3141.5,5269.0,3599.0,4809.0,3928.0,4855.5,7223.5,5494.0,9935.0,4062.0,9510.5,3272.0,6457.5,7395.0,6079.0,4136.0,3684.0,5303.0,6171.0,8607.0,5695.5,6740.0
Dey4.jpg_persistence.pkl,6494.0,4151.5,2457.0,4460.0,0.0,6054.5,4734.0,12639.5,5010.0,5229.0,7024.0,4538.0,4646.5,4510.5,3918.5,5684.0,7345.5,8025.5,5583.5,4890.0,3629.5,3797.5,6442.0,3993.5,4582.5,10209.0,5920.5,8015.5,6225.0,4796.5,4482.0,8578.5,7005.0,10369.5,5333.5,6281.0,4890.5,6402.0,4708.0,4685.0,14828.0,14130.0,8287.0,12202.0,10033.0,12132.0,12669.5,10783.5,10917.5,3175.0,4801.5,5723.5,4146.5,5039.0,5134.5,5215.0,5184.0,4574.0,4922.0,4031.5,11231.0,4883.5,9356.0,9564.0,6488.5,4590.5,7243.5,5280.5,12424.5,4638.0,2696.5,3715.5,3580.5,2603.0,4494.0,3079.0,3305.0,3158.0,3789.5,6130.5,4956.0,3678.5,3979.0,5279.0,7289.0,7798.0,8558.0,5692.5,10533.5,4527.5,8841.5,6984.5,6888.5,3793.0,6233.0,4743.0,3989.5,9236.5,4702.0,7927.5
Dey5.jpg_persistence.pkl,3640.5,3194.0,4736.0,3630.0,6054.5,0.0,4129.0,13238.0,4173.0,3725.0,5400.5,2868.5,3657.5,3318.0,4277.5,4169.0,5658.5,4303.5,2644.0,4777.5,4057.5,3719.0,2679.5,3611.5,3351.0,6517.5,2619.0,4511.5,3728.5,2950.0,6466.5,9449.0,9611.0,13037.5,9488.0,5923.5,6835.5,8466.5,5551.5,6680.5,18629.0,16336.0,10525.0,15961.5,13074.0,11996.5,15229.5,12156.0,14785.0,5443.0,3504.5,5524.0,2950.0,4298.5,2846.5,2537.0,4314.5,2846.0,2896.0,3912.5,7927.5,5008.5,13963.0,10285.5,4581.5,6758.5,7340.5,5360.0,14064.0,3560.0,4773.5,4066.5,3969.5,4744.5,4634.0,3875.0,4613.5,3934.5,3755.5,5525.0,3929.5,5671.0,4819.5,5837.5,8660.0,4794.5,11054.5,3684.0,10134.5,3475.5,6203.0,7999.5,6460.5,5552.0,5020.5,6963.5,8352.5,10608.5,7998.0,8639.5
Dey6.jpg_persistence.pkl,4845.0,2911.5,3954.0,3149.5,4734.0,4129.0,0.0,14000.0,1748.5,5174.0,3114.5,2078.5,2661.0,2845.0,2287.0,2057.5,4674.0,4272.0,3029.0,3945.5,2996.0,3047.5,4590.5,2074.0,1404.5,7482.0,3162.5,4471.5,2569.0,2163.5,6430.0,10538.0,10196.5,12822.5,9075.5,7247.5,6835.0,7438.0,5316.5,6887.0,18205.5,15473.0,11154.5,15853.5,13078.0,12623.0,14688.0,13667.5,14581.5,4689.5,3698.0,5899.0,2131.0,4679.0,3242.5,3343.0,4701.5,3336.5,3442.5,3912.0,9989.5,5958.5,13518.0,11226.5,5307.5,7170.0,8810.5,6234.0,14873.5,4083.0,3507.0,2211.5,2961.0,3193.0,2614.5,2186.5,2809.0,2688.0,3286.0,6955.0,5172.0,5955.5,5838.5,7341.5,9442.5,7164.5,11705.0,4099.5,11939.5,2581.0,8516.5,9386.0,8151.0,5994.5,5356.0,7352.5,7982.0,11103.0,7326.5,9242.5
Dey7.jpeg_persistence.pkl,12329.0,13630.5,12851.5,12503.0,12639.5,13238.0,14000.0,0.0,14551.0,12151.0,14132.0,12964.5,12604.5,11887.0,14816.5,13446.5,12990.0,12430.0,12103.0,11535.0,11959.5,12742.5,11395.0,13284.5,13784.0,9597.5,12504.5,12038.0,12878.5,12673.0,12643.0,7042.5,11367.0,10425.0,13363.5,9181.5,11660.5,15451.0,12033.0,10253.0,18211.0,21360.5,9920.0,14948.5,14376.5,11325.5,16738.0,8082.5,14275.5,12876.0,11909.0,9822.5,13123.5,11367.0,11796.0,12748.5,10446.0,13436.5,13080.0,11859.5,10626.0,10420.0,16190.5,8531.5,10726.5,10475.0,8790.5,11753.5,12772.5,12787.5,13401.5,14215.0,14003.0,13189.0,15023.0,13657.0,13975.5,13225.5,12187.5,10988.0,11490.5,10931.0,10367.0,11070.5,10050.0,11315.0,12584.5,12719.5,10417.5,14236.0,10432.0,8348.0,9164.5,10770.0,10713.5,11503.0,11888.5,13589.5,12791.0,13444.5
Dey8.jpg_persistence.pkl,5182.5,3151.0,4208.0,3792.5,5010.0,4173.0,1748.5,14551.0,0.0,5268.0,3616.5,2208.5,2753.5,3234.0,2296.5,1715.0,4724.5,4207.0,3451.5,4190.0,3644.5,3549.5,4997.5,2343.0,1571.0,7666.5,3108.0,4837.5,2611.0,2563.0,6792.5,11258.5,10564.5,13272.5,9525.5,7852.5,7589.5,7975.0,5837.0,7470.5,18794.0,15958.5,11834.5,16512.5,13607.0,13288.5,15296.5,14355.5,15182.0,5156.0,4119.0,6505.5,2445.0,5303.0,3743.0,3471.0,5353.0,3397.5,3545.0,4383.5,10703.5,6535.0,13996.5,11899.0,5670.0,7720.0,9410.0,6622.5,15579.5,4256.5,3803.0,2200.0,3104.0,3465.0,2796.5,2397.5,3142.5,2973.5,3427.5,7389.0,5469.0,6325.5,6333.0,7707.5,10095.0,7759.5,12300.0,4578.0,12500.0,2663.0,9086.0,10047.0,8553.0,6455.0,5763.0,7729.0,8408.0,11540.5,7719.0,9776.5
Dey9.jpg_persistence.pkl,2685.0,3434.0,3723.0,2794.0,5229.0,3725.0,5174.0,12151.0,5268.0,0.0,6716.5,3987.5,4542.5,4017.5,5092.5,5613.5,6920.0,6388.5,4120.5,5182.0,4244.5,3750.5,3545.5,4252.0,4484.0,7007.0,4163.5,6211.0,5370.0,4077.0,3807.0,8080.5,6843.5,12062.0,8779.5,5533.5,7050.0,8645.5,5556.5,4438.5,18133.0,16655.5,8137.0,13958.0,10214.5,12237.0,15199.5,10905.0,13358.0,4386.0,3758.0,5067.5,3727.0,4295.5,2976.5,3145.5,4019.5,3365.0,2789.0,4289.5,7332.5,3903.0,12606.0,8270.0,4934.5,4265.5,5314.5,3229.5,11662.0,2135.0,4083.0,4508.5,3499.0,5095.0,5485.5,4177.5,5152.5,3869.0,4191.0,5360.5,3913.5,5331.0,4020.0,3480.0,6478.0,5386.0,9960.0,4865.5,8044.5,4571.5,5133.5,6816.5,4921.0,4493.0,3407.5,5268.0,5779.5,7673.0,5417.0,5735.5
