,Dey1.jpg_persistence.pkl,Dey10.jpeg_persistence.pkl,Dey2.jpg_persistence.pkl,Dey3.jpeg_persistence.pkl,Dey4.jpg_persistence.pkl,Dey5.jpg_persistence.pkl,Dey6.jpg_persistence.pkl,Dey7.jpeg_persistence.pkl,Dey8.jpg_persistence.pkl,Dey9.jpg_persistence.pkl,Gen1.jpg_persistence.pkl,Gen10.jpg_persistence.pkl,Gen2.jpg_persistence.pkl,Gen3.jpg_persistence.pkl,Gen4.png_persistence.pkl,Gen5.jpeg_persistence.pkl,Gen6.jpg_persistence.pkl,Gen7.jpg_persistence.pkl,Gen8.jpg_persistence.pkl,Gen9.jpg_persistence.pkl,Goya1.jpg_persistence.pkl,Goya10.jpg_persistence.pkl,Goya2.jpg_persistence.pkl,Goya3.jpg_persistence.pkl,Goya4.jpg_persistence.pkl,Goya5.jpg_persistence.pkl,Goya6.jpg_persistence.pkl,Goya7.jpg_persistence.pkl,Goya8.jpg_persistence.pkl,Goya9.jpg_persistence.pkl,Klimt1.jpg_persistence.pkl,Klimt10.jpeg_persistence.pkl,Klimt2.jpg_persistence.pkl,Klimt3.jpg_persistence.pkl,Klimt4.jpg_persistence.pkl,Klimt5.jpg_persistence.pkl,Klimt6.jpg_persistence.pkl,Klimt7.jpg_persistence.pkl,Klimt8.jpg_persistence.pkl,Klimt9.jpg_persistence.pkl,Mithila1.jpg_persistence.pkl,Mithila10.jpg_persistence.pkl,Mithila2.jpg_persistence.pkl,Mithila3.jpg_persistence.pkl,Mithila4.jpeg_persistence.pkl,Mithila5.jpg_persistence.pkl,Mithila6.jpg_persistence.pkl,Mithila7.jpeg_persistence.pkl,Mithila8.jpeg_persistence.pkl,Mithila9.jpg_persistence.pkl,Raja1.jpg_persistence.pkl,Raja10.jpg_persistence.pkl,Raja2.jpg_persistence.pkl,Raja3.jpg_persistence.pkl,Raja4.jpg_persistence.pkl,Raja5.jpeg_persistence.pkl,Raja6.jpg_persistence.pkl,Raja7.jpg_persistence.pkl,Raja8.jpg_persistence.pkl,Raja9.jpg_persistence.pkl,Ren1.jpg_persistence.pkl,Ren10.jpg_persistence.pkl,Ren2.jpg_persistence.pkl,Ren3.jpg_persistence.pkl,Ren4.jpg_persistence.pkl,Ren5.jpg_persistence.pkl,Ren6.jpg_persistence.pkl,Ren7.jpg_persistence.pkl,Ren8.jpg_persistence.pkl,Ren9.jpeg_persistence.pkl,Robert1.jpg_persistence.pkl,Robert10.jpg_persistence.pkl,Robert2.jpg_persistence.pkl,Robert3.jpg_persistence.pkl,Robert4.jpg_persistence.pkl,Robert5.jpg_persistence.pkl,Robert6.jpg_persistence.pkl,Robert7.jpg_persistence.pkl,Robert8.jpg_persistence.pkl,Robert9.jpg_persistence.pkl,Sid1.jpeg_persistence.pkl,Sid10.jpg_persistence.pkl,Sid2.jpeg_persistence.pkl,Sid3.jpg_persistence.pkl,Sid4.jpg_persistence.pkl,Sid5.jpeg_persistence.pkl,Sid6.jpeg_persistence.pkl,Sid7.jpg_persistence.pkl,Sid8.jpg_persistence.pkl,Sid9.jpg_persistence.pkl,Vin1.jpg_persistence.pkl,Vin10.jpg_persistence.pkl,Vin2.jpg_persistence.pkl,Vin3.jpg_persistence.pkl,Vin4.jpg_persistence.pkl,Vin5.jpg_persistence.pkl,Vin6.jpg_persistence.pkl,Vin7.jpg_persistence.pkl,Vin8.jpeg_persistence.pkl,Vin9.jpg_persistence.pkl
Dey1.jpg_persistence.pkl,0.0,26348.5,8758.5,27022.5,11611.0,18592.5,27314.0,12622.0,34818.5,12423.0,34672.0,23873.0,18572.5,29164.5,27388.5,25915.5,26916.5,32764.0,25928.5,29244.0,27967.0,25241.5,27336.0,27679.0,32009.5,26417.0,28690.0,29239.0,31330.0,28949.5,17635.5,27903.5,23642.0,9427.0,41129.0,24591.0,25808.0,5915.0,22112.5,29678.0,22981.5,14288.0,28555.0,8422.5,13762.0,32388.0,28995.0,5346.0,15226.5,39750.5,15795.0,28652.0,25910.5,14335.0,18149.5,30031.5,26024.5,29417.5,27674.0,32260.5,27815.0,23430.5,9578.5,15298.0,22067.0,15957.5,30266.0,19876.0,18274.0,32269.0,18416.5,32306.5,19561.5,24788.5,25437.5,31771.0,32460.0,30813.5,38446.5,22495.5,11509.5,18740.0,21763.0,13512.5,15094.0,31914.0,8104.5,7639.0,8577.0,23819.5,28079.0,22857.0,12356.0,9693.5,21027.5,18162.5,16115.0,12753.0,11668.0,13286.0
Dey10.jpeg_persistence.pkl,26348.5,0.0,19117.0,5031.5,25176.5,14390.0,12193.5,23646.5,18043.5,14917.0,12479.5,10774.0,19525.0,6770.0,6930.0,5926.0,11093.0,11186.5,6297.5,9569.5,6506.5,9488.0,15539.0,6757.5,14450.5,11492.0,4410.5,15045.5,8722.0,6145.0,17799.5,38013.5,37210.0,24062.0,36738.0,19439.5,28600.0,29811.0,16274.0,14931.0,32306.0,35679.5,38528.5,32475.0,36448.5,35531.5,34177.0,24880.5,29004.0,39288.0,20051.5,23805.5,20041.0,28832.5,21623.5,7397.5,12964.0,4127.5,3983.5,8947.0,25323.5,27948.5,32914.0,26826.5,21084.0,23830.5,21380.0,20357.5,34963.0,9363.5,21718.5,12109.5,22000.0,19636.0,16385.0,11464.5,8877.0,10314.0,16282.5,27560.5,22136.0,18130.5,27766.0,27559.0,20314.5,30031.5,31958.0,21626.0,28241.0,6496.5,35405.0,28652.5,30259.5,33541.0,19968.0,17457.5,21379.5,28170.5,25169.5,28118.0
Dey2.jpg_persistence.pkl,8758.5,19117.0,0.0,20571.0,12222.5,13319.5,22257.5,10857.5,29863.5,7040.5,27655.5,16372.5,14149.0,23198.0,21310.0,19906.5,19960.0,27460.0,19399.0,21833.0,20694.5,18018.0,20978.5,21649.0,27141.5,19357.5,21473.5,22022.5,25533.0,22766.5,13784.5,28026.5,25252.5,9429.0,36398.0,18014.5,24535.5,11752.0,15696.5,22747.0,22920.5,19276.0,27590.0,15019.0,19909.5,29635.5,26426.5,8807.5,15417.0,36086.0,12115.0,22442.0,21659.0,16197.0,14653.0,23481.5,19071.5,22175.5,20490.5,25361.0,22785.5,20078.5,15582.0,16089.5,17395.0,15824.5,24299.0,15043.0,21439.0,26332.0,14804.5,27242.5,16575.0,20881.0,20459.5,26679.5,25051.5,25628.0,31482.5,19777.5,8442.5,13334.5,18854.0,16172.0,11850.0,27144.0,14111.0,5663.0,12962.0,18321.0,26616.5,20013.0,16156.5,16060.0,15955.0,13267.5,14454.0,15554.5,14012.5,16100.0
Dey3.jpeg_persistence.pkl,27022.5,5031.5,20571.0,0.0,24339.5,13615.0,9194.5,26949.5,14134.0,15651.5,13812.5,14908.5,17985.0,4241.0,3279.0,3231.5,14493.5,7752.5,6840.5,13287.0,10255.0,13578.0,19494.5,2743.0,10461.0,15345.5,6013.5,18907.0,6693.0,4463.5,17799.5,41934.0,41116.5,26137.0,40713.5,23422.0,30911.5,30049.0,20073.0,18645.5,35666.5,36691.0,42608.5,33316.0,35696.0,39486.0,38159.5,25097.0,32588.5,43278.0,18617.0,27664.5,17093.5,27374.0,19911.5,6186.5,16788.0,5212.5,7487.5,8707.0,28993.0,31827.5,33389.0,28311.0,24298.0,23687.5,25158.0,21630.0,33607.5,7532.0,19947.0,7893.0,19972.0,16952.5,13762.0,7207.0,12482.0,5972.5,19232.5,31629.5,22158.0,21314.5,31362.0,27356.5,21325.5,33960.0,32969.5,23162.0,29756.5,6405.0,39082.0,31760.0,32192.5,34417.5,22079.5,20546.5,20697.0,29024.5,24557.5,27753.0
Dey4.jpg_persistence.pkl,11611.0,25176.5,12222.5,24339.5,0.0,12273.0,19173.5,18035.0,25224.0,12838.0,35166.5,24083.0,9153.0,26574.5,23941.0,22629.5,29084.5,28593.5,25128.0,29424.0,28792.0,25835.5,31359.0,24597.0,24235.5,28649.0,28036.0,30783.5,28595.0,26808.5,18579.5,37257.5,31507.5,18078.5,48078.0,28652.5,27169.5,10780.0,26621.5,32538.5,32239.0,20986.0,37122.0,15987.5,12463.5,40975.5,37669.0,9624.0,21892.0,47806.0,7368.0,33300.0,16031.5,5442.5,8390.5,28412.5,28821.0,28235.5,27566.0,31620.5,33460.0,31436.0,15141.5,22781.5,26662.5,18317.5,34666.0,23270.0,15261.5,29964.5,8652.5,26601.5,9645.5,14824.5,15611.0,26361.0,32537.0,26705.5,39989.0,29601.5,8963.5,24401.0,29244.0,16897.5,18280.5,38650.0,17216.0,13550.0,18493.0,21967.5,36837.5,30870.0,21955.5,18273.5,24849.0,22936.5,15655.5,18527.5,13644.0,16365.0
Dey5.jpg_persistence.pkl,18592.5,14390.0,13319.5,13615.0,12273.0,0.0,10436.0,21495.5,17183.0,9293.0,24524.5,14612.0,6806.0,15595.0,13657.5,12219.0,19115.5,17972.5,14637.5,19020.0,18228.5,16211.0,22444.5,14012.5,15831.5,18916.5,17218.5,21626.5,17538.5,15920.0,15789.5,39109.0,37133.0,20359.0,40958.5,22630.5,31834.0,18760.5,19029.0,22774.5,32746.5,26759.0,38335.0,23412.5,22762.0,37266.5,35489.5,16396.0,26848.5,42085.0,7521.5,28077.5,11370.0,15065.5,8489.5,17517.0,19297.0,17406.5,16855.0,20865.5,28464.5,29133.0,22912.5,24789.0,23508.5,21431.0,26891.0,19693.0,22342.5,18859.0,8586.5,16618.0,9555.0,10962.5,9067.0,16169.0,21832.0,16397.0,29483.0,28873.5,10952.0,19101.0,29037.5,20444.0,18143.0,32351.0,23771.5,15962.5,24440.0,11065.0,36646.0,29225.0,26947.5,25365.5,20742.0,19355.5,16610.0,21587.5,18630.5,20409.0
Dey6.jpg_persistence.pkl,27314.0,12193.5,22257.5,9194.5,19173.5,10436.0,0.0,30316.0,7923.0,17522.5,21843.5,18134.0,11436.0,10905.5,7946.5,7407.0,21064.5,11611.5,12846.5,20069.5,17661.0,18884.0,25944.0,8994.5,6130.0,21762.0,14413.5,24696.0,12569.0,11651.0,21242.5,48101.5,46053.0,29222.0,47089.5,29407.5,35569.5,27789.0,26284.5,25091.0,41091.5,35345.0,47294.5,32565.0,29867.0,45656.0,44300.0,24815.5,35735.0,49598.5,13032.5,33869.5,8665.0,20100.5,12812.5,13251.5,23057.0,13886.0,15353.0,16963.0,35093.0,37875.0,31608.5,32454.5,30358.0,26815.5,31447.5,26979.5,26127.5,14236.5,12874.5,8733.0,12383.0,8813.0,6237.5,8833.0,20081.5,9672.5,27538.0,36840.0,18578.5,27340.0,37591.5,26440.0,24520.0,40375.0,33001.5,24768.5,33306.5,9756.0,45266.0,37905.0,36020.5,34392.5,27051.5,26511.5,20782.5,29495.5,24430.5,25923.5
Dey7.jpeg_persistence.pkl,12622.0,23646.5,10857.5,26949.5,18035.0,21495.5,30316.0,0.0,37682.5,14681.5,32621.5,17762.5,21785.0,29613.0,28011.5,26651.0,22103.5,34008.5,25806.0,22472.0,23049.0,18639.0,20543.0,28409.0,34457.5,20151.0,26848.5,21330.5,31870.0,29110.5,20682.0,25440.5,16785.0,13232.5,34249.0,16251.5,22454.0,14765.0,15805.5,22260.5,21139.0,21900.0,20536.0,16889.5,23043.0,27489.0,24603.5,13369.5,6846.5,33278.5,19535.0,20218.5,28651.5,21415.5,22359.0,29476.0,19919.0,27285.5,24081.0,30393.0,25466.0,18681.0,18479.0,20621.5,20816.0,20855.0,27541.0,21242.5,27573.5,32555.0,22533.5,34180.0,23687.0,26803.0,28336.5,33598.5,25455.0,32515.0,32468.0,13500.5,15736.5,15213.5,18732.5,21605.0,18834.0,25654.5,15695.0,11485.0,13865.0,25375.5,24542.5,20124.5,17521.0,18107.0,22861.0,18388.0,20898.5,20919.0,19653.0,21528.0
Dey8.jpg_persistence.pkl,34818.5,18043.5,29863.5,14134.0,25224.0,17183.0,7923.0,37682.5,0.0,25011.0,27082.5,25431.0,17016.0,14352.0,11738.5,12554.5,28412.0,12263.0,20140.5,26074.0,23928.5,25640.5,33274.0,12731.0,3809.0,29237.0,19267.5,31442.5,15150.5,15114.5,28679.0,55684.0,53521.5,36788.5,54614.5,36941.5,41064.0,34711.0,33843.5,32392.0,48605.5,42379.5,54867.5,39509.5,35512.0,53199.5,51884.5,32296.5,43137.5,57179.0,19790.0,41237.0,10231.5,24488.5,17600.5,17926.0,30576.5,18370.5,20843.5,21135.0,42649.5,45465.0,38509.0,40004.0,37666.5,33939.0,38830.0,34487.5,30519.5,16677.0,17528.0,8232.5,16543.0,11960.5,10187.5,8735.5,25094.5,10473.0,32321.5,44421.0,25519.5,34868.5,45129.0,33556.5,31827.0,47930.0,40241.5,32366.5,40807.5,16799.0,52820.5,45476.0,43566.0,41694.5,34584.0,33994.0,27904.5,36868.0,31719.5,33149.0
Dey9.jpg_persistence.pkl,12423.0,14917.0,7040.5,15651.5,12838.0,9293.0,17522.5,14681.5,25011.0,0.0,23921.5,14204.0,10601.5,17720.0,16423.5,15065.5,16991.5,21553.0,14764.5,18222.5,17126.0,14558.5,19094.5,16547.0,21776.5,16534.0,17286.5,19526.0,19928.0,17475.0,11193.0,31479.0,29649.5,12920.5,36642.0,17046.5,26679.0,15504.0,14752.0,20294.0,25909.5,22362.5,30751.5,18401.5,22689.5,31276.5,28772.0,11164.5,19854.5,37065.5,9404.0,22190.0,17370.5,16730.5,12184.0,18582.0,16615.0,17984.5,16468.5,20902.5,23007.5,22229.5,18685.0,17742.5,17449.0,15878.0,22755.0,13488.0,23257.5,20769.0,12224.5,21237.5,13572.5,16741.0,15831.5,20697.5,21329.5,19790.0,28263.5,21931.0,9297.0,13362.5,21478.5,16746.5,11950.0,27533.0,18010.5,9207.0,16549.5,13240.5,29507.0,22235.0,19629.5,19466.5,15388.5,13271.0,13515.0,16648.5,14350.5,16830.5
