,Dey1.jpg_persistence.pkl,Dey10.jpeg_persistence.pkl,Dey2.jpg_persistence.pkl,Dey3.jpeg_persistence.pkl,Dey4.jpg_persistence.pkl,Dey5.jpg_persistence.pkl,Dey6.jpg_persistence.pkl,Dey7.jpeg_persistence.pkl,Dey8.jpg_persistence.pkl,Dey9.jpg_persistence.pkl,Gen1.jpg_persistence.pkl,Gen10.jpg_persistence.pkl,Gen2.jpg_persistence.pkl,Gen3.jpg_persistence.pkl,Gen4.png_persistence.pkl,Gen5.jpeg_persistence.pkl,Gen6.jpg_persistence.pkl,Gen7.jpg_persistence.pkl,Gen8.jpg_persistence.pkl,Gen9.jpg_persistence.pkl,Goya1.jpg_persistence.pkl,Goya10.jpg_persistence.pkl,Goya2.jpg_persistence.pkl,Goya3.jpg_persistence.pkl,Goya4.jpg_persistence.pkl,Goya5.jpg_persistence.pkl,Goya6.jpg_persistence.pkl,Goya7.jpg_persistence.pkl,Goya8.jpg_persistence.pkl,Goya9.jpg_persistence.pkl,Klimt1.jpg_persistence.pkl,Klimt10.jpeg_persistence.pkl,Klimt2.jpg_persistence.pkl,Klimt3.jpg_persistence.pkl,Klimt4.jpg_persistence.pkl,Klimt5.jpg_persistence.pkl,Klimt6.jpg_persistence.pkl,Klimt7.jpg_persistence.pkl,Klimt8.jpg_persistence.pkl,Klimt9.jpg_persistence.pkl,Mithila1.jpg_persistence.pkl,Mithila10.jpg_persistence.pkl,Mithila2.jpg_persistence.pkl,Mithila3.jpg_persistence.pkl,Mithila4.jpeg_persistence.pkl,Mithila5.jpg_persistence.pkl,Mithila6.jpg_persistence.pkl,Mithila7.jpeg_persistence.pkl,Mithila8.jpeg_persistence.pkl,Mithila9.jpg_persistence.pkl,Raja1.jpg_persistence.pkl,Raja10.jpg_persistence.pkl,Raja2.jpg_persistence.pkl,Raja3.jpg_persistence.pkl,Raja4.jpg_persistence.pkl,Raja5.jpeg_persistence.pkl,Raja6.jpg_persistence.pkl,Raja7.jpg_persistence.pkl,Raja8.jpg_persistence.pkl,Raja9.jpg_persistence.pkl,Ren1.jpg_persistence.pkl,Ren10.jpg_persistence.pkl,Ren2.jpg_persistence.pkl,Ren3.jpg_persistence.pkl,Ren4.jpg_persistence.pkl,Ren5.jpg_persistence.pkl,Ren6.jpg_persistence.pkl,Ren7.jpg_persistence.pkl,Ren8.jpg_persistence.pkl,Ren9.jpeg_persistence.pkl,Robert1.jpg_persistence.pkl,Robert10.jpg_persistence.pkl,Robert2.jpg_persistence.pkl,Robert3.jpg_persistence.pkl,Robert4.jpg_persistence.pkl,Robert5.jpg_persistence.pkl,Robert6.jpg_persistence.pkl,Robert7.jpg_persistence.pkl,Robert8.jpg_persistence.pkl,Robert9.jpg_persistence.pkl,Sid1.jpeg_persistence.pkl,Sid10.jpg_persistence.pkl,Sid2.jpeg_persistence.pkl,Sid3.jpg_persistence.pkl,Sid4.jpg_persistence.pkl,Sid5.jpeg_persistence.pkl,Sid6.jpeg_persistence.pkl,Sid7.jpg_persistence.pkl,Sid8.jpg_persistence.pkl,Sid9.jpg_persistence.pkl,Vin1.jpg_persistence.pkl,Vin10.jpg_persistence.pkl,Vin2.jpg_persistence.pkl,Vin3.jpg_persistence.pkl,Vin4.jpg_persistence.pkl,Vin5.jpg_persistence.pkl,Vin6.jpg_persistence.pkl,Vin7.jpg_persistence.pkl,Vin8.jpeg_persistence.pkl,Vin9.jpg_persistence.pkl
Klimt10.jpeg_persistence.pkl,10319.0,8706.5,3184.0,8750.5,13060.0,3602.0,7746.5,5528.0,9122.0,2444.5,8467.0,7695.5,4498.5,8719.5,8925.5,8351.0,7040.5,9096.0,7318.5,8904.5,8438.0,8042.5,7194.0,8722.5,9162.0,6943.5,8611.0,8388.0,8868.0,8918.0,6046.0,0.0,4866.5,10090.0,6257.0,6149.0,11920.5,12491.5,5425.5,7151.0,3587.0,18344.5,4015.0,16556.0,35852.5,4618.5,2193.0,21717.0,5459.0,6415.0,5691.0,7046.0,4117.5,15730.5,6110.5,8724.5,6349.0,8902.0,8691.0,8710.0,2046.0,2050.0,26145.0,13651.0,4316.0,18202.0,4013.0,6569.5,37890.0,9119.5,5228.0,9162.5,4549.5,4527.5,8342.5,9161.5,9142.5,9162.5,8738.5,4546.0,8386.0,2355.5,6779.5,20668.0,6251.0,3629.5,19547.5,5703.5,18568.5,5064.5,2769.0,5467.0,13534.0,17808.5,3596.5,5968.0,14473.0,16932.0,25284.5,24848.5
Klimt2.jpg_persistence.pkl,9286.5,12596.5,4684.0,12637.5,10991.5,5998.0,11647.0,2405.0,13002.5,4632.5,12355.5,11405.0,5175.0,12602.0,12792.0,12240.0,10966.5,12974.5,11206.5,12789.0,12332.0,11801.0,10983.0,12612.0,13040.5,10794.5,12498.5,12087.5,12738.5,12800.5,5091.0,4866.5,0.0,9777.5,10105.5,9860.0,10869.0,11359.0,9371.0,11053.0,6351.0,16935.5,5867.5,15064.5,33171.5,8598.5,5003.5,18982.5,1815.5,10421.0,4537.5,10803.0,6682.5,14048.0,5505.5,12616.5,10232.5,12784.5,12582.5,12591.0,4928.5,5964.5,23559.5,12402.5,4366.0,16842.5,7936.5,6477.5,36771.5,12999.0,4971.0,13041.0,5551.0,8201.5,12225.0,13040.0,13022.0,13041.0,12614.5,3987.5,8496.0,5889.0,7383.5,19757.5,6465.5,7189.0,17288.5,5956.5,15686.0,8949.0,6738.0,6196.5,13252.0,16037.0,4459.5,5957.0,13327.5,15852.0,24169.0,23895.0
Klimt3.jpg_persistence.pkl,2655.5,17763.0,8556.5,17804.0,4905.5,10959.5,16782.0,10436.0,18176.0,9030.5,17513.5,16747.5,8062.5,17765.5,17969.0,17404.5,16083.5,18149.0,16339.5,17958.0,17489.0,17066.5,16250.0,17774.5,18216.0,16001.5,17658.0,17456.0,17910.5,17971.5,6534.5,10090.0,9777.5,0.0,15319.0,15182.5,13773.0,3858.5,14396.0,16159.5,9587.5,10567.0,13217.0,7354.0,26198.0,14014.5,8676.5,12132.0,9083.0,15631.0,6104.5,16081.0,12247.5,7360.0,7114.0,17775.0,15387.5,17950.0,17744.0,17761.5,10166.5,11052.5,16711.5,4726.5,8149.5,10232.0,13288.0,4838.5,28292.5,18173.5,7709.5,18216.5,10242.0,13548.5,17441.0,18215.5,18196.5,18216.5,17785.0,11376.0,6160.5,10207.5,5120.5,11402.0,6599.5,12549.0,10535.5,5290.5,9148.5,14001.5,10906.5,6792.5,6694.0,8672.0,9451.0,5705.0,5737.0,7782.0,15779.5,15559.0
Klimt4.jpg_persistence.pkl,15451.5,2623.5,7310.0,2652.0,17453.5,5306.5,1833.0,9591.0,3018.0,6894.5,2378.0,1809.0,8111.0,2629.5,2832.5,2301.5,1127.0,2992.0,1442.5,2812.0,2364.0,2062.5,1368.0,2634.0,3057.0,1181.0,2520.5,2455.0,2762.0,2819.0,10089.0,6257.0,10105.5,15319.0,0.0,1254.5,12330.5,17790.0,1451.0,1099.5,7187.0,23672.0,5025.0,22122.0,41264.5,2030.5,7199.0,27146.0,10251.0,1022.0,10400.0,1423.0,4681.5,20391.0,9749.0,2628.0,1368.5,2818.5,2607.5,2611.0,5828.0,4546.5,31680.0,18648.5,8613.0,21889.0,2973.5,11138.0,43002.0,3015.5,8653.0,3057.5,6291.0,3157.5,2289.0,3056.5,3037.5,3057.5,2645.5,7519.0,12090.0,5652.0,11604.5,25958.5,10621.5,3297.5,25237.0,10805.0,24141.5,2547.5,5520.0,10847.5,18966.5,23364.5,6649.5,10684.0,19252.0,22131.5,30175.0,30093.0
Klimt5.jpg_persistence.pkl,15286.0,2832.5,7159.5,2873.5,17031.0,4926.0,1938.5,9270.5,3236.5,6647.5,2588.0,1808.0,7833.5,2842.0,3039.5,2485.5,1353.0,3211.0,1543.0,3024.0,2572.0,2211.5,1417.5,2848.5,3276.0,1332.0,2739.5,2426.5,2980.5,3037.0,10117.5,6149.0,9860.0,15182.5,1254.5,0.0,11822.5,17579.5,1966.0,1392.5,7208.5,23389.5,4581.5,21778.5,40859.5,2252.0,7157.5,26857.5,10015.0,1847.0,10150.5,1224.5,3931.5,20103.5,9338.0,2846.0,1256.5,3027.0,2833.5,2832.5,5980.0,4624.5,31332.0,18764.0,8737.5,21873.0,2817.0,11247.0,42989.0,3233.5,8457.0,3276.5,5784.5,2610.5,2595.5,3275.5,3257.0,3276.5,2861.0,7042.5,11925.0,5513.0,11461.0,25928.5,10587.5,2992.5,24870.0,10576.5,23833.0,2285.5,5674.0,10672.5,18826.0,23163.5,6807.0,10579.0,19206.5,22274.5,30128.0,30220.5
Klimt6.jpg_persistence.pkl,13285.0,12452.0,10943.5,12425.5,14267.5,11529.5,11864.0,10521.0,12443.0,11820.0,12245.5,12233.5,10284.5,12359.5,12410.5,12259.0,12394.5,12408.5,11733.5,12436.5,12524.0,11863.5,12603.5,12545.0,12463.5,12694.0,12337.5,12292.0,12322.5,12427.5,9072.0,11920.5,10869.0,13773.0,12330.5,11822.5,0.0,15846.5,13018.5,12337.5,12879.0,22157.0,12088.5,19897.5,35122.0,12752.0,12371.5,22775.5,10769.0,12840.0,10572.0,11916.5,10157.0,16747.5,9806.5,12241.0,12240.5,12449.5,12351.5,12267.5,10098.0,12070.5,26838.0,13866.0,9265.0,14243.0,10922.5,11221.0,34051.5,12452.0,8747.0,12464.0,8393.5,10434.0,12246.5,12463.0,12451.5,12464.0,12315.5,10708.0,13293.5,12942.0,13271.0,20150.0,10486.0,11701.5,22282.5,12465.0,20084.5,11803.5,13234.5,13449.5,19340.0,20497.5,8785.0,10644.0,13503.0,16424.0,22830.5,21886.5
Klimt7.jpg_persistence.pkl,3991.5,20278.5,10898.0,20334.0,5032.0,13214.0,19312.5,12251.5,20706.5,11442.5,20044.5,19118.5,10470.0,20296.0,20496.0,19939.5,18613.0,20679.5,18876.0,20489.0,20023.5,19573.5,18689.5,20306.0,20746.5,18474.0,20189.5,19886.0,20444.0,20502.0,8990.0,12491.5,11359.0,3858.5,17790.0,17579.5,15846.5,0.0,16970.0,18699.5,12115.0,9822.5,15101.0,5800.0,24044.0,16432.0,11060.5,10425.0,10758.0,18092.0,8095.0,18536.5,14418.5,6556.0,9171.0,20305.5,17881.0,20481.5,20275.5,20291.5,12514.0,13512.0,14961.0,5253.5,10702.0,10480.5,15725.0,7480.5,26736.5,20704.0,9984.5,20747.0,12488.5,15911.0,19920.5,20746.0,20727.0,20747.0,20312.0,13150.5,7926.5,12729.5,7648.5,10294.0,9003.0,14903.5,8779.0,7650.0,7528.0,16555.0,13497.5,9012.0,5654.0,6845.5,11891.0,8415.0,6271.0,7055.5,14631.0,14358.0
Klimt8.jpg_persistence.pkl,14655.0,3410.0,6496.5,3453.5,16477.5,4505.5,2618.0,8755.0,3822.0,5892.5,3176.5,2549.0,7242.5,3420.0,3645.0,3076.5,1816.5,3797.0,2246.5,3608.0,3158.5,2897.5,2068.5,3425.0,3861.0,1796.5,3315.0,3206.0,3564.5,3618.0,9196.0,5425.5,9371.0,14396.0,1451.0,1966.0,13018.5,16970.0,0.0,1912.5,6543.5,22743.5,4276.0,21152.0,40272.5,1364.0,6409.0,26234.0,9447.5,1545.0,9505.5,2276.0,4491.0,19444.0,8921.5,3436.0,1450.0,3618.0,3402.0,3418.0,5072.0,3744.5,30694.0,17877.0,8041.5,21264.5,2445.5,10338.5,42039.5,3819.0,7929.5,3861.5,6123.5,3203.5,3200.5,3860.5,3841.5,3861.5,3452.0,6775.0,11358.5,4780.0,10692.0,25026.0,9915.5,2517.5,24260.0,9947.5,23226.0,1778.0,4845.5,10039.5,18073.0,22499.5,5968.5,9727.5,18328.0,21320.0,29219.5,29234.5
Klimt9.jpg_persistence.pkl,16360.5,1645.5,8065.5,1676.0,18072.5,5851.0,1099.0,10430.5,2026.0,7566.5,1415.0,1190.5,8601.5,1674.0,1870.5,1416.5,528.0,2005.0,929.5,1828.5,1394.0,1370.5,861.0,1655.0,2064.5,774.5,1554.0,1617.0,1782.5,1838.5,10747.0,7151.0,11053.0,16159.5,1099.5,1392.5,12337.5,18699.5,1912.5,0.0,8121.5,24423.0,5778.5,22917.0,42003.0,2769.0,8130.0,28007.0,11202.0,1024.0,11245.0,1172.0,4967.0,21162.5,10294.0,1659.5,1269.0,1846.5,1644.0,1628.0,6646.0,5454.0,32440.5,19540.5,9280.0,22466.0,3426.0,11961.5,43681.0,2024.5,9344.0,2065.0,6762.5,3470.0,1497.5,2064.0,2045.5,2065.0,1671.5,8239.5,12814.5,6436.5,12405.0,26726.5,11237.5,4104.5,26034.0,11681.0,25006.0,2664.5,6467.5,11795.5,19821.5,24280.5,7444.0,11286.0,19964.0,22998.5,30856.5,30887.0
Mithila1.jpg_persistence.pkl,10525.0,9730.5,4795.5,9767.0,13389.0,4572.5,8775.0,6808.0,10133.5,3263.5,9484.0,8617.0,5164.5,9746.5,9922.5,9365.0,8100.5,10108.5,8340.5,9928.0,9465.5,9022.0,8140.0,9744.5,10173.0,7963.5,9633.5,9326.5,9874.5,9933.0,6788.5,3587.0,6351.0,9587.5,7187.0,7208.5,12879.0,12115.0,6543.5,8121.5,0.0,16803.5,5791.5,15670.0,34743.0,5879.5,2923.0,20870.5,6211.5,7526.0,6560.0,8002.5,5851.0,15941.5,7095.0,9737.0,7409.5,9922.0,9712.0,9719.0,3868.5,3601.5,24840.5,13232.5,5217.0,17787.0,5589.5,6608.5,36805.0,10132.5,6219.0,10173.5,5771.0,6139.5,9372.5,10172.5,10153.5,10173.5,9753.5,5736.5,7190.0,2831.5,5577.5,19750.0,6153.0,4888.0,18657.5,5492.0,17700.0,6101.5,2441.0,4310.5,12751.0,16919.0,4594.0,6609.5,13939.0,16066.0,24734.5,24178.0
